2012-08-19 22:47:43,501 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:43.412974+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:43.412974+00:00')
2012-08-19 22:47:44,806 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:44.794729+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:44.794729+00:00')
2012-08-19 22:47:44,809 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:44,823 [DEBUG] django.db.backends: (0.009) SELECT "inbox_mail"."inbox_id" FROM "inbox_mail" WHERE ("inbox_mail"."inbox_id" IN (SELECT U0."id" FROM "inbox_inbox" U0 INNER JOIN "inbox_inbox_users" U1 ON (U0."id" = U1."inbox_id") WHERE U1."user_id" = 2511 ) AND NOT ("inbox_mail"."id" IN (SELECT U1."mail_id" FROM "inbox_mail_readers" U1 WHERE (U1."user_id" = 2511  AND U1."mail_id" IS NOT NULL)))); args=(2511, 2511)
2012-08-19 22:47:44,826 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_inbox"."slug" ASC; args=(2511,)
2012-08-19 22:47:44,848 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:44.838961+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:44.838961+00:00')
2012-08-19 22:47:44,852 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:44,858 [DEBUG] django.db.backends: (0.003) SELECT "inbox_mail"."id", "inbox_mail"."inbox_id", "inbox_mail"."peer", "inbox_mail"."from_email", "inbox_mail"."to_email", "inbox_mail"."bcc", "inbox_mail"."cc", "inbox_mail"."raw", "inbox_mail"."subject", "inbox_mail"."uuid", "inbox_mail"."date", "inbox_mail"."content_types" FROM "inbox_mail" INNER JOIN "inbox_inbox" ON ("inbox_mail"."inbox_id" = "inbox_inbox"."id") INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_mail"."date" DESC LIMIT 50; args=(2511,)
2012-08-19 22:47:46,614 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:46.604856+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:46.604856+00:00')
2012-08-19 22:47:46,617 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:46,624 [DEBUG] django.db.backends: (0.002) SELECT (1) AS "a" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  LIMIT 1; args=(2511,)
2012-08-19 22:47:49,931 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:49.920722+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:49.920722+00:00')
2012-08-19 22:47:49,934 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:49,936 [DEBUG] django.db.backends: (0.001) INSERT INTO "inbox_inbox" ("title", "label", "slug", "password", "owner_id") VALUES ('sraka', NULL, 'sraka', 'mZFJZV', 2511) RETURNING "inbox_inbox"."id"; args=(u'sraka', None, u'sraka', 'mZFJZV', 2511)
2012-08-19 22:47:49,940 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox_users"."user_id" FROM "inbox_inbox_users" WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "inbox_inbox_users"."user_id" IN (2511)); args=(18, 2511)
2012-08-19 22:47:49,942 [DEBUG] django.db.backends: (0.001) INSERT INTO "inbox_inbox_users" ("inbox_id", "user_id") VALUES (18, 2511); args=(18, 2511)
2012-08-19 22:47:49,956 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:49.948399+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:49.948399+00:00')
2012-08-19 22:47:49,959 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:50,014 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:50.004735+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:50.004735+00:00')
2012-08-19 22:47:50,016 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:50,025 [DEBUG] django.db.backends: (0.004) SELECT "inbox_mail"."inbox_id" FROM "inbox_mail" WHERE ("inbox_mail"."inbox_id" IN (SELECT U0."id" FROM "inbox_inbox" U0 INNER JOIN "inbox_inbox_users" U1 ON (U0."id" = U1."inbox_id") WHERE U1."user_id" = 2511 ) AND NOT ("inbox_mail"."id" IN (SELECT U1."mail_id" FROM "inbox_mail_readers" U1 WHERE (U1."user_id" = 2511  AND U1."mail_id" IS NOT NULL)))); args=(2511, 2511)
2012-08-19 22:47:50,027 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_inbox"."slug" ASC; args=(2511,)
2012-08-19 22:47:50,030 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM "inbox_mail" WHERE "inbox_mail"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:47:50,032 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:47:50,054 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:50.046167+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:50.046167+00:00')
2012-08-19 22:47:50,057 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:50,064 [DEBUG] django.db.backends: (0.004) SELECT "inbox_mail"."id", "inbox_mail"."inbox_id", "inbox_mail"."peer", "inbox_mail"."from_email", "inbox_mail"."to_email", "inbox_mail"."bcc", "inbox_mail"."cc", "inbox_mail"."raw", "inbox_mail"."subject", "inbox_mail"."uuid", "inbox_mail"."date", "inbox_mail"."content_types" FROM "inbox_mail" INNER JOIN "inbox_inbox" ON ("inbox_mail"."inbox_id" = "inbox_inbox"."id") INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE "inbox_inbox_users"."user_id" = 2511  ORDER BY "inbox_mail"."date" DESC LIMIT 50; args=(2511,)
2012-08-19 22:47:51,437 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:51.426949+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:51.426949+00:00')
2012-08-19 22:47:51,440 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:51,445 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" INNER JOIN "inbox_inbox_users" ON ("inbox_inbox"."id" = "inbox_inbox_users"."inbox_id") WHERE ("inbox_inbox_users"."user_id" = 2511  AND "inbox_inbox"."slug" = 'sraka' ); args=(2511, u'sraka')
2012-08-19 22:47:51,448 [DEBUG] django.db.backends: (0.001) SELECT ("inbox_inbox_users"."inbox_id") AS "_prefetch_related_val", "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" IN (18); args=(18,)
2012-08-19 22:47:51,453 [DEBUG] django.db.backends: (0.002) SELECT "inbox_mail"."id", "inbox_mail"."inbox_id", "inbox_mail"."peer", "inbox_mail"."from_email", "inbox_mail"."to_email", "inbox_mail"."bcc", "inbox_mail"."cc", "inbox_mail"."raw", "inbox_mail"."subject", "inbox_mail"."uuid", "inbox_mail"."date", "inbox_mail"."content_types" FROM "inbox_mail" WHERE "inbox_mail"."inbox_id" = 18  ORDER BY "inbox_mail"."date" DESC LIMIT 50; args=(18,)
2012-08-19 22:47:52,488 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:47:52.479206+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:47:52.479206+00:00')
2012-08-19 22:47:52,491 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:47:52,493 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:47:52,496 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inboxsettings"."id", "inbox_inboxsettings"."inbox_id", "inbox_inboxsettings"."mask", "inbox_forwardrule"."inboxsettings_ptr_id", "inbox_forwardrule"."email_to" FROM "inbox_forwardrule" INNER JOIN "inbox_inboxsettings" ON ("inbox_forwardrule"."inboxsettings_ptr_id" = "inbox_inboxsettings"."id") WHERE "inbox_inboxsettings"."inbox_id" = 18  ORDER BY "inbox_forwardrule"."inboxsettings_ptr_id" ASC; args=(18,)
2012-08-19 22:47:52,502 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:48:04,423 [DEBUG] django.db.backends: (0.003) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:04.412480+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:04.412480+00:00')
2012-08-19 22:48:04,426 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:04,428 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:04,506 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inboxsettings"."id", "inbox_inboxsettings"."inbox_id", "inbox_inboxsettings"."mask", "inbox_forwardrule"."inboxsettings_ptr_id", "inbox_forwardrule"."email_to" FROM "inbox_forwardrule" INNER JOIN "inbox_inboxsettings" ON ("inbox_forwardrule"."inboxsettings_ptr_id" = "inbox_inboxsettings"."id") WHERE "inbox_inboxsettings"."inbox_id" = 18  ORDER BY "inbox_forwardrule"."inboxsettings_ptr_id" ASC; args=(18,)
2012-08-19 22:48:04,513 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE "inbox_inbox_users"."inbox_id" = 18 ; args=(18,)
2012-08-19 22:48:07,367 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:07.359162+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:07.359162+00:00')
2012-08-19 22:48:07,370 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:07,372 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:07,375 [DEBUG] django.db.backends: (0.002) SELECT (1) AS "a" FROM "auth_user" WHERE "auth_user"."email" = 'pedro@ad.ad'  LIMIT 1; args=(u'pedro@ad.ad',)
2012-08-19 22:48:07,375 [DEBUG] django.db.backends: (0.000) SAVEPOINT s4458868736_x1; args=()
2012-08-19 22:48:07,539 [DEBUG] django.db.backends: (0.003) INSERT INTO "auth_user" ("username", "first_name", "last_name", "email", "password", "is_staff", "is_active", "is_superuser", "last_login", "date_joined") VALUES ('pedro', '', '', 'pedro@ad.ad', 'pbkdf2_sha256$10000$6AMHbSd9NtCo$bzvpqcBr8l4LvvRtZl5QC8cJ8GNjYRWI10mnqeUEHnY=', false, true, false, '2012-08-19 22:48:07.375817+00:00', '2012-08-19 22:48:07.375817+00:00') RETURNING "auth_user"."id"; args=(u'pedro', '', '', u'pedro@ad.ad', 'pbkdf2_sha256$10000$6AMHbSd9NtCo$bzvpqcBr8l4LvvRtZl5QC8cJ8GNjYRWI10mnqeUEHnY=', False, True, False, u'2012-08-19 22:48:07.375817+00:00', u'2012-08-19 22:48:07.375817+00:00')
2012-08-19 22:48:07,584 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:07.538302+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:07.538302+00:00')
2012-08-19 22:48:07,587 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:07,588 [DEBUG] django.db.backends: (0.001) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:07,592 [DEBUG] django.db.backends: (0.002) SELECT (1) AS "a" FROM "auth_user" WHERE "auth_user"."email" = 'pedro@ad.ad'  LIMIT 1; args=(u'pedro@ad.ad',)
2012-08-19 22:48:07,594 [DEBUG] django.db.backends: (0.001) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."email" = 'pedro@ad.ad' ; args=(u'pedro@ad.ad',)
2012-08-19 22:48:07,597 [DEBUG] django.db.backends: (0.001) SELECT (1) AS "a" FROM "auth_user" INNER JOIN "inbox_inbox_users" ON ("auth_user"."id" = "inbox_inbox_users"."user_id") WHERE ("inbox_inbox_users"."inbox_id" = 18  AND "auth_user"."id" = 2521 ) LIMIT 1; args=(18, 2521)
2012-08-19 22:48:08,246 [DEBUG] django.db.backends: (0.004) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = '09b87743499a3562b89ac423512643a3'  AND "django_session"."expire_date" > '2012-08-19 22:48:08.235656+00:00' ); args=('09b87743499a3562b89ac423512643a3', u'2012-08-19 22:48:08.235656+00:00')
2012-08-19 22:48:08,249 [DEBUG] django.db.backends: (0.002) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 2511 ; args=(2511,)
2012-08-19 22:48:08,252 [DEBUG] django.db.backends: (0.002) SELECT "inbox_inbox"."id", "inbox_inbox"."title", "inbox_inbox"."label", "inbox_inbox"."slug", "inbox_inbox"."password", "inbox_inbox"."owner_id" FROM "inbox_inbox" WHERE "inbox_inbox"."slug" = 'sraka' ; args=(u'sraka',)
2012-08-19 22:48:08,255 [DEBUG] django.db.backends: (0.002) SELECT (1) AS "a" FROM "auth_user" WHERE "auth_user"."email" = 'pedro@ad.ad'  LIMIT 1; args=(u'pedro@ad.ad',)
